Name,Customer Code,National Id,PAN_Number,License Number,modified_date,Blood Group,Citizenship Number,source,Mobile Number,Father_Name,Permanent_Address,Mother Name,votersAge,votersID,Customer ID,Gender,SC Number,soup,Date of Birth,SpouseName,Temporary_Address
Ram Thapa,21216874,AB123C,ABCDE1234F,15-05-58353205,2024-05-30 04:25:46.397065,AB+,624-93227-32431/660086,"bank, esewa, voter, electricity, license",1234567890,Ram Bahadur Thapa,"Baluwatar, Kathmandu, Nepal",Laxmi Thapa,45,11116874,3245,Male,001.01.01,ramthapa 1990-01-01 rambahadurthapa,1990-01-01,Sita Thapa,"Gongabu, Kathmandu, Nepal"
Sita Shrestha,22359363,DE456F,FGHIJ5678K,21-08-00435579,2024-05-30 04:25:46.399098,AB-,747-42087-31417/584714,"bank, esewa, voter, electricity, license",2345678901,Hari Prasad Shrestha,"Lakeside, Pokhara, Nepal",Radha Sharma,38,22259363,3246,Female,001.01.02,sitashrestha 1991-02-02 hariprasadshrestha,1991-02-02,Ravi Sharma,"New Road, Pokhara, Nepal"
Hari Gurung,33485241,GH789I,LMNOP9012L,93-12-35351480,2024-05-30 04:25:46.400865,B-,389-45382-93886/821590,"bank, esewa, voter, electricity, license",3456789012,Gopal Krishna Gurung,"Chitwan National Park, Chitwan, Nepal",Gita Adhikari,52,33385241,3247,Male,001.01.03,harigurung 1992-03-03 gopalkrishnagurung,1992-03-03,Maya Adhikari,"Pulchowk, Lalitpur, Nepal"
Gita Tamang,45475489,JK012L,QRSTU3456M,65-03-68139881,2024-05-30 04:25:46.402465,A-,571-38785-99733/440035,"bank, esewa, voter, electricity, license",4567890123,Shyam Lal Tamang,"Biratnagar, Morang, Nepal",Mina Rai,30,44475489,3248,Female,001.01.04,gitatamang 1993-04-04 shyamlaltamang,1993-04-04,Surya Rai,"Bagbazar, Kathmandu, Nepal"
Mohan Lama,56562139,MN345O,VWXYZ7890N,14-11-40056582,2024-05-30 04:25:46.404044,A+,864-17331-40021/961722,"bank, esewa, voter, electricity, license",5678901234,Krishna Raj Lama,"Bharatpur, Chitwan, Nepal",Kalpana Karki,27,55562139,3249,Male,001.01.05,mohanlama 1994-05-05 krishnarajlama,1994-05-05,Sarita Karki,"Balkumari, Lalitpur, Nepal"
Radha Magar,67698214,PQ678R,ABCD1234PQ,82-09-81734599,2024-05-30 04:25:46.405617,B-,033-51347-62581/380746,"bank, esewa, voter, electricity, license",6789012345,Narayan Kumar Magar,"Butwal, Rupandehi, Nepal",Nima Gurung,41,66698214,3250,Female,001.01.06,radhamagar 1995-06-06 narayankumarmagar,1995-06-06,Pemba Gurung,"Chabahil, Kathmandu, Nepal"
Krishna Rai,78714635,ST901U,EFGH5678RS,,2024-05-30 04:25:46.365677,,,"bank, esewa, voter, electricity",7890123456,Govinda Bahadur Rai,"Hetauda, Makwanpur, Nepal",Saru Shrestha,36,77714635,3251,Male,001.01.07,krishnarai 1996-07-07 govindabahadurrai,1996-07-07,Laxmi Shrestha,"Kumaripati, Lalitpur, Nepal"
Sarita Sherpa,89847326,VW234X,TUVW9012XY,98-03-72394228,2024-05-30 04:25:46.408164,A-,323-37869-95909/623481,"bank, esewa, voter, electricity, license",8901234567,Shiva Narayan Sherpa,"Janakpur, Dhanusa, Nepal",Nanu Maharjan,50,88847326,3252,Female,001.01.08,saritasherpa 1997-08-08 shivanarayansherpa,1997-08-08,Raj Maharjan,"New Baneshwor, Kathmandu, Nepal"
Bikash Karki,91953421,YZ567A,ZABC3456DE,68-01-80388982,2024-05-30 04:25:46.409915,B-,406-94259-70142/249811,"bank, esewa, voter, electricity, license",9012345678,Bhagirath Bahadur Karki,"Nepalgunj, Banke, Nepal",Lhamu Tamang,43,99953421,3253,Male,001.01.09,bikashkarki 1998-09-09 bhagirathbahadurkarki,1998-09-09,Pema Tamang,"Boudha, Kathmandu, Nepal"
Nisha Bhandari,10203847,BC890D,FGHI7890JK,42-08-02614125,2024-05-30 04:25:46.412255,A-,272-28301-42325/881177,"bank, esewa, voter, electricity, license",123456789,Surya Bahadur Bhandari,"Dharan, Sunsari, Nepal",Lila KC,34,10103847,3254,Female,001.01.10,nishabhandari 1999-10-10 suryabahadurbhandari,1999-10-10,Manish KC,"Kalanki, Kathmandu, Nepal"
