Name,Mobile Number,Customer ID,SC Number,Date of Birth,Father_Name,source
Ram Thapa,1234567890,3245,001.01.01,1990-01-01,Ram Bahadur Thapa,layout4
Sita Shrestha,2345678901,3246,001.01.02,1991-02-02,Hari Prasad Shrestha,layout4
Hari Gurung,3456789012,3247,001.01.03,1992-03-03,Gopal Krishna Gurung,layout4
Gita Tamang,4567890123,3248,001.01.04,1993-04-04,Shyam Lal Tamang,layout4
Mohan Lama,5678901234,3249,001.01.05,1994-05-05,Krishna Raj Lama,layout4
Radha Magar,6789012345,3250,001.01.06,1995-06-06,Narayan Kumar Magar,layout4
Krishna Rai,7890123456,3251,001.01.07,1996-07-07,Govinda Bahadur Rai,layout4
Sarita Sherpa,8901234567,3252,001.01.08,1997-08-08,Shiva Narayan Sherpa,layout4
Bikash Karki,9012345678,3253,001.01.09,1998-09-09,Bhagirath Bahadur Karki,layout4
Nisha Bhandari,123456789,3254,001.01.10,1999-10-10,Surya Bahadur Bhandari,layout4
Aarav Adhikari,1234567800,3255,001.01.11,2000-11-11,Rajan Bahadur Adhikari,layout4
Sneha Joshi,2345678902,3256,001.01.12,2001-12-12,Ramesh Bahadur Joshi,layout4
Pratik Shahi,3456789013,3257,001.01.13,1989-01-13,Suresh Kumar Shahi,layout4
Anju Bhattarai,4567890124,3258,001.01.14,1988-02-14,Dinesh Raj Bhattarai,layout4
Manish Maharjan,5678901235,3259,001.01.15,1987-03-15,Bijay Bahadur Maharjan,layout4
Puja KC,6789012346,3260,001.01.16,1986-04-16,Ramesh Bahadur KC,layout4
Anil Khadka,7890123457,3261,001.01.17,1985-05-17,Rajesh Bahadur Khadka,layout4
Rita Rimal,8901234568,3262,001.01.18,1984-06-18,Ganesh Bahadur Rimal,layout4
Pratiksha Dahal,9012345679,3263,001.01.19,1983-07-19,Santosh Bahadur Dahal,layout4
Dipesh Pokharel,123456790,3264,001.01.20,1982-08-20,Shyam Sundar Pokharel,layout4
