License Number,votersAge,Date of Birth,source,soup,Name,Customer Code,Blood Group,SC Number,Temporary_Address,votersID,PAN_Number,Citizenship Number,Father_Name,Mother Name,National Id,Gender,Permanent_Address,last_modified_date,SpouseName,Customer ID,Mobile Number
15-05-58353205,45,1990-01-01,"layout1, layout2, layout3, layout4, layout5",ramthapa 1990-01-01 rambahadurthapa,Ram Thapa,21216874,AB+,001.01.01,"Gongabu, Kathmandu, Nepal",11116874,ABCDE1234F,624-93227-32431/660086,Ram Bahadur Thapa,Laxmi Thapa,AB123C,Male,"Baluwatar, Kathmandu, Nepal",2024-05-30 15:12:55.479627,Sita Thapa,3245,1234567890
21-08-00435579,38,1991-02-02,"layout1, layout2, layout3, layout4, layout5",sitashrestha 1991-02-02 hariprasadshrestha,Sita Shrestha,22359363,AB-,001.01.02,"New Road, Pokhara, Nepal",22259363,FGHIJ5678K,747-42087-31417/584714,Hari Prasad Shrestha,Radha Sharma,DE456F,Female,"Lakeside, Pokhara, Nepal",2024-05-30 15:12:55.479627,Ravi Sharma,3246,2345678901
93-12-35351480,52,1992-03-03,"layout1, layout2, layout3, layout4, layout5",harigurung 1992-03-03 gopalkrishnagurung,Hari Gurung,33485241,B-,001.01.03,"Pulchowk, Lalitpur, Nepal",33385241,LMNOP9012L,389-45382-93886/821590,Gopal Krishna Gurung,Gita Adhikari,GH789I,Male,"Chitwan National Park, Chitwan, Nepal",2024-05-30 15:12:55.479627,Maya Adhikari,3247,3456789012
65-03-68139881,30,1993-04-04,"layout1, layout2, layout3, layout4, layout5",gitatamang 1993-04-04 shyamlaltamang,Gita Tamang,45475489,A-,001.01.04,"Bagbazar, Kathmandu, Nepal",44475489,QRSTU3456M,571-38785-99733/440035,Shyam Lal Tamang,Mina Rai,JK012L,Female,"Biratnagar, Morang, Nepal",2024-05-30 15:12:55.479627,Surya Rai,3248,4567890123
,27,1994-05-05,"layout1, layout2, layout3, layout4",mohanlama 1994-05-05 krishnarajlama,Mohan Lama,56562139,,001.01.05,,55562139,VWXYZ7890N,,Krishna Raj Lama,Kalpana Karki,MN345O,Male,"Bharatpur, Chitwan, Nepal",2024-05-30 15:12:55.437012,Sarita Karki,3249,5678901234
82-09-81734599,41,1995-06-06,"layout1, layout2, layout3, layout4, layout5",radhamagar 1995-06-06 narayankumarmagar,Radha Magar,67698214,B-,001.01.06,"Chabahil, Kathmandu, Nepal",66698214,ABCD1234PQ,033-51347-62581/380746,Narayan Kumar Magar,Nima Gurung,PQ678R,Female,"Butwal, Rupandehi, Nepal",2024-05-30 15:12:55.493584,Pemba Gurung,3250,6789012345
,36,1996-07-07,"layout1, layout2, layout3, layout4",krishnarai 1996-07-07 govindabahadurrai,Krishna Rai,78714635,,001.01.07,"Kumaripati, Lalitpur, Nepal",77714635,EFGH5678RS,,Govinda Bahadur Rai,Saru Shrestha,ST901U,Male,"Hetauda, Makwanpur, Nepal",2024-05-30 15:12:55.437012,Laxmi Shrestha,3251,7890123456
98-03-72394228,50,1997-08-08,"layout1, layout2, layout3, layout4, layout5",saritasherpa 1997-08-08 shivanarayansherpa,Sarita Sherpa,89847326,A-,001.01.08,"New Baneshwor, Kathmandu, Nepal",88847326,TUVW9012XY,323-37869-95909/623481,Shiva Narayan Sherpa,Nanu Maharjan,VW234X,Female,"Janakpur, Dhanusa, Nepal",2024-05-30 15:12:55.493584,Raj Maharjan,3252,8901234567
,43,1998-09-09,"layout1, layout2, layout3, layout4",bikashkarki 1998-09-09 bhagirathbahadurkarki,Bikash Karki,91953421,,001.01.09,"Boudha, Kathmandu, Nepal",99953421,ZABC3456DE,,Bhagirath Bahadur Karki,Lhamu Tamang,YZ567A,Male,"Nepalgunj, Banke, Nepal",2024-05-30 15:12:55.445465,Pema Tamang,3253,9012345678
42-08-02614125,34,1999-10-10,"layout1, layout2, layout3, layout4, layout5",nishabhandari 1999-10-10 suryabahadurbhandari,Nisha Bhandari,10203847,A-,001.01.10,"Kalanki, Kathmandu, Nepal",10103847,FGHI7890JK,272-28301-42325/881177,Surya Bahadur Bhandari,Lila KC,BC890D,Female,"Dharan, Sunsari, Nepal",2024-05-30 15:12:55.493584,Manish KC,3254,123456789
15-06-41273848,39,2000-11-11,"layout1, layout2, layout3, layout4, layout5",aaravadhikari 2000-11-11 rajanbahaduradhikari,Aarav Adhikari,12113982,O+,001.01.11,"Sanepa, Lalitpur, Nepal",11113982,LMNO1234PL,575-80644-44438/883300,Rajan Bahadur Adhikari,Chandra Khadka,EF123G,Male,"Birtamode, Jhapa, Nepal",2024-05-30 15:12:55.500113,Nisha Khadka,3255,1234567800
31-01-32329238,48,2001-12-12,"layout1, layout2, layout3, layout4, layout5",snehajoshi 2001-12-12 rameshbahadurjoshi,Sneha Joshi,13122547,AB+,001.01.12,"Putalisadak, Kathmandu, Nepal",12122547,QRST5678UM,599-66155-86484/518801,Ramesh Bahadur Joshi,Tulasa Magar,HI456J,Female,"Dhangadhi, Kailali, Nepal",2024-05-30 15:12:55.500113,Kamal Magar,3256,2345678902
73-02-11496212,31,1989-01-13,"layout1, layout2, layout3, layout4, layout5",pratikshahi 1989-01-13 sureshkumarshahi,Pratik Shahi,13235698,O-,001.01.13,"Tinkune, Kathmandu, Nepal",13135698,VWXY9012NZ,371-38746-28131/634277,Suresh Kumar Shahi,Ganga Yadav,KL789M,Male,"Itahari, Sunsari, Nepal",2024-05-30 15:12:55.500113,Sita Yadav,3257,3456789013
94-08-09289547,29,1988-02-14,"layout1, layout2, layout3, layout4, layout5",anjubhattarai 1988-02-14 dineshrajbhattarai,Anju Bhattarai,14247652,AB-,001.01.14,"Sinamangal, Kathmandu, Nepal",14147652,ABCD3456OP,506-21915-16175/214975,Dinesh Raj Bhattarai,Sunita Bista,NO012P,Female,"Bhaktapur, Bhaktapur, Nepal",2024-05-30 15:12:55.500113,Mina Bista,3258,4567890124
,44,1987-03-15,"layout1, layout2, layout3, layout4",manishmaharjan 1987-03-15 bijaybahadurmaharjan,Manish Maharjan,15158964,,001.01.15,"Thamel, Kathmandu, Nepal",15158963,EFGH7890QR,,Bijay Bahadur Maharjan,Gita Dhakal,QR345S,Male,"Kirtipur, Kathmandu, Nepal",2024-05-30 15:12:55.459295,Ram Dhakal,3259,5678901235
17-11-63791321,53,1986-04-16,"layout1, layout2, layout3, layout4, layout5",pujakc 1986-04-16 rameshbahadurkc,Puja KC,16169853,AB-,001.01.16,"Jawalakhel, Lalitpur, Nepal",16169852,STUV1234WX,697-65333-88172/166613,Ramesh Bahadur KC,Laxmi Pant,TU678V,Female,"Lalitpur, Lalitpur, Nepal",2024-05-30 15:12:55.500113,Radha Pant,3260,6789012346
,37,1985-05-17,"layout1, layout2, layout3, layout4",anilkhadka 1985-05-17 rajeshbahadurkhadka,Anil Khadka,17375246,,001.01.17,"Maitighar, Kathmandu, Nepal",17175246,YZAB5678CD,,Rajesh Bahadur Khadka,Sarita Joshi,WX901Y,Male,"Ghorahi, Dang, Nepal",2024-05-30 15:12:55.464292,Amit Joshi,3261,7890123457
68-10-56792613,28,1984-06-18,"layout1, layout2, layout3, layout4, layout5",ritarimal 1984-06-18 ganeshbahadurrimal,Rita Rimal,18383569,B-,001.01.18,"Buddhanagar, Kathmandu, Nepal",18183569,EFGH9012EF,542-42953-82512/112038,Ganesh Bahadur Rimal,Meena Bhattarai,ZA234B,Female,"Tansen, Palpa, Nepal",2024-05-30 15:12:55.509151,Anita Bhattarai,3262,8901234568
