Temporary_Address,Mobile Number,PAN_Number,National Id,source,Citizenship Number,Date of Birth,Gender,Blood Group,soup,Father_Name,votersID,votersAge,SC Number,Permanent_Address,Customer Code,last_modified_date,Name,Customer ID,License Number,Mother Name,SpouseName,uid
"Gongabu, Kathmandu, Nepal",1234567890,ABCDE1234F,AB123C,"layout1, layout2, layout3, layout4, layout5",624-93227-32431/660086,1990-01-01,Male,AB+,ramthapa 1990-01-01 rambahadurthapa,Ram Bahadur Thapa,11116874,45,001.01.01,"Baluwatar, Kathmandu, Nepal",21216874,2024-07-02 11:03:29.266721,Ram Thapa,3245,15-05-58353205,Laxmi Thapa,Sita Thapa,8130816101990
"New Road, Pokhara, Nepal",2345678901,FGHIJ5678K,DE456F,"layout1, layout2, layout3, layout4, layout5",747-42087-31417/584714,1991-02-02,Female,AB-,sitashrestha 1991-02-02 hariprasadshrestha,Hari Prasad Shrestha,22259363,38,001.01.02,"Lakeside, Pokhara, Nepal",22359363,2024-07-02 11:03:29.268776,Sita Shrestha,3246,21-08-00435579,Radha Sharma,Ravi Sharma,9901988590810
"Pulchowk, Lalitpur, Nepal",3456789012,LMNOP9012L,GH789I,"layout1, layout2, layout3, layout4, layout5",389-45382-93886/821590,1992-03-03,Male,B-,harigurung 1992-03-03 gopalkrishnagurung,Gopal Krishna Gurung,33385241,52,001.01.03,"Chitwan National Park, Chitwan, Nepal",33485241,2024-07-02 11:03:29.270411,Hari Gurung,3247,93-12-35351480,Gita Adhikari,Maya Adhikari,8189718147019
"Bagbazar, Kathmandu, Nepal",4567890123,QRSTU3456M,JK012L,"layout1, layout2, layout3, layout4, layout5",571-38785-99733/440035,1993-04-04,Female,A-,gitatamang 1993-04-04 shyamlaltamang,Shyam Lal Tamang,44475489,30,001.01.04,"Biratnagar, Morang, Nepal",45475489,2024-07-02 11:03:29.272038,Gita Tamang,3248,65-03-68139881,Mina Rai,Surya Rai,7901013147019
"Balkumari, Lalitpur, Nepal",5678901234,VWXYZ7890N,MN345O,"layout1, layout2, layout3, layout4, layout5",864-17331-40021/961722,1994-05-05,Male,A+,mohanlama 1994-05-05 krishnarajlama,Krishna Raj Lama,55562139,27,001.01.05,"Bharatpur, Chitwan, Nepal",56562139,2024-07-02 11:03:29.273730,Mohan Lama,3249,14-11-40056582,Kalpana Karki,Sarita Karki,3581421310199
"Chabahil, Kathmandu, Nepal",6789012345,ABCD1234PQ,PQ678R,"layout1, layout2, layout3, layout4, layout5",033-51347-62581/380746,1995-06-06,Female,B-,radhamagar 1995-06-06 narayankumarmagar,Narayan Kumar Magar,66698214,41,001.01.06,"Butwal, Rupandehi, Nepal",67698214,2024-07-02 11:03:29.275376,Radha Magar,3250,82-09-81734599,Nima Gurung,Pemba Gurung,8148131718019
"Kumaripati, Lalitpur, Nepal",7890123456,EFGH5678RS,ST901U,"layout1, layout2, layout3, layout4",,1996-07-07,Male,,krishnarai 1996-07-07 govindabahadurrai,Govinda Bahadur Rai,77714635,36,001.01.07,"Hetauda, Makwanpur, Nepal",78714635,2024-07-02 11:03:29.240079,Krishna Rai,3251,,Saru Shrestha,Laxmi Shrestha,1899841819019
"New Baneshwor, Kathmandu, Nepal",8901234567,TUVW9012XY,VW234X,"layout1, layout2, layout3, layout4, layout5",323-37869-95909/623481,1997-08-08,Female,A-,saritasherpa 1997-08-08 shivanarayansherpa,Shiva Narayan Sherpa,88847326,50,001.01.08,"Janakpur, Dhanusa, Nepal",89847326,2024-07-02 11:03:29.278033,Sarita Sherpa,3252,98-03-72394228,Nanu Maharjan,Raj Maharjan,9189019858610
"Boudha, Kathmandu, Nepal",9012345678,ZABC3456DE,YZ567A,"layout1, layout2, layout3, layout4, layout5",406-94259-70142/249811,1998-09-09,Male,B-,bikashkarki 1998-09-09 bhagirathbahadurkarki,Bhagirath Bahadur Karki,99953421,43,001.01.09,"Nepalgunj, Banke, Nepal",91953421,2024-07-02 11:03:29.279639,Bikash Karki,3253,68-01-80388982,Lhamu Tamang,Pema Tamang,2911981181901
"Kalanki, Kathmandu, Nepal",123456789,FGHI7890JK,BC890D,"layout1, layout2, layout3, layout4, layout5",272-28301-42325/881177,1999-10-10,Female,A-,nishabhandari 1999-10-10 suryabahadurbhandari,Surya Bahadur Bhandari,10103847,34,001.01.10,"Dharan, Sunsari, Nepal",10203847,2024-07-02 11:03:29.281509,Nisha Bhandari,3254,42-08-02614125,Lila KC,Manish KC,4998128144189
"Sanepa, Lalitpur, Nepal",1234567800,LMNO1234PL,EF123G,"layout1, layout2, layout3, layout4, layout5",575-80644-44438/883300,2000-11-11,Male,O+,aaravadhikari 2000-11-11 rajanbahaduradhikari,Rajan Bahadur Adhikari,11113982,39,001.01.11,"Birtamode, Jhapa, Nepal",12113982,2024-07-02 11:03:29.283701,Aarav Adhikari,3255,15-06-41273848,Chandra Khadka,Nisha Khadka,1181214891189
"Putalisadak, Kathmandu, Nepal",2345678902,QRST5678UM,HI456J,"layout1, layout2, layout3, layout4, layout5",599-66155-86484/518801,2001-12-12,Female,AB+,snehajoshi 2001-12-12 rameshbahadurjoshi,Ramesh Bahadur Joshi,12122547,48,001.01.12,"Dhangadhi, Kailali, Nepal",13122547,2024-07-02 11:03:29.285432,Sneha Joshi,3256,31-01-32329238,Tulasa Magar,Kamal Magar,9458105989020
"Tinkune, Kathmandu, Nepal",3456789013,VWXY9012NZ,KL789M,"layout1, layout2, layout3, layout4, layout5",371-38746-28131/634277,1989-01-13,Male,O-,pratikshahi 1989-01-13 sureshkumarshahi,Suresh Kumar Shahi,13135698,31,001.01.13,"Itahari, Sunsari, Nepal",13235698,2024-07-02 11:03:29.287105,Pratik Shahi,3257,73-02-11496212,Ganga Yadav,Sita Yadav,6810919818901
"Sinamangal, Kathmandu, Nepal",4567890124,ABCD3456OP,NO012P,"layout1, layout2, layout3, layout4, layout5",506-21915-16175/214975,1988-02-14,Female,AB-,anjubhattarai 1988-02-14 dineshrajbhattarai,Dinesh Raj Bhattarai,14147652,29,001.01.14,"Bhaktapur, Bhaktapur, Nepal",14247652,2024-07-02 11:03:29.288725,Anju Bhattarai,3258,94-08-09289547,Sunita Bista,Mina Bista,1401281001819
"Thamel, Kathmandu, Nepal",5678901235,EFGH7890QR,QR345S,"layout1, layout2, layout3, layout4",,1987-03-15,Male,,manishmaharjan 1987-03-15 bijaybahadurmaharjan,Bijay Bahadur Maharjan,15158963,44,001.01.15,"Kirtipur, Kathmandu, Nepal",15158964,2024-07-02 11:03:29.253003,Manish Maharjan,3259,,Gita Dhakal,Ram Dhakal,3149983181801
"Jawalakhel, Lalitpur, Nepal",6789012346,STUV1234WX,TU678V,"layout1, layout2, layout3, layout4, layout5",697-65333-88172/166613,1986-04-16,Female,AB-,pujakc 1986-04-16 rameshbahadurkc,Ramesh Bahadur KC,16169852,53,001.01.16,"Lalitpur, Lalitpur, Nepal",16169853,2024-07-02 11:03:29.291323,Puja KC,3260,17-11-63791321,Laxmi Pant,Radha Pant,6101130198600
"Maitighar, Kathmandu, Nepal",7890123457,YZAB5678CD,WX901Y,"layout1, layout2, layout3, layout4, layout5",697-65333-88172/166613,1985-05-17,Male,AB-,anilkhadka 1985-05-17 rajeshbahadurkhadka,Rajesh Bahadur Khadka,17175246,37,001.01.17,"Ghorahi, Dang, Nepal",17375246,2024-07-02 11:03:29.293018,Anil Khadka,3261,17-11-63791321,Sarita Joshi,Amit Joshi,1492181411019
"Buddhanagar, Kathmandu, Nepal",8901234568,EFGH9012EF,ZA234B,"layout1, layout2, layout3, layout4, layout5",542-42953-82512/112038,1984-06-18,Female,B-,ritarimal 1984-06-18 ganeshbahadurrimal,Ganesh Bahadur Rimal,18183569,28,001.01.18,"Tansen, Palpa, Nepal",18383569,2024-07-02 11:03:29.294694,Rita Rimal,3262,68-10-56792613,Meena Bhattarai,Anita Bhattarai,8901893120198
"Buddhanagar, Kathmandu, Nepal",9012345679,IJKL3456GH,CD567E,"layout1, layout2, layout3, layout4, layout5",542-42953-82512/112038,1983-07-19,Male,B-,pratikshadahal 1983-07-19 santoshbahadurdahal,Santosh Bahadur Dahal,19194258,46,001.01.19,"Bidur, Nuwakot, Nepal",19294258,2024-07-02 11:03:29.296357,Pratiksha Dahal,3263,68-10-56792613,Manju Gurung,Sanu Gurung,6810919814181
"Gaushala, Kathmandu, Nepal",123456790,MNOP7890IJ,FG890H,"layout1, layout2, layout3, layout4, layout5",769-44973-94012/456699,1982-08-20,Female,A-,dipeshpokharel 1982-08-20 shyamsundarpokharel,Shyam Sundar Pokharel,20205417,40,001.01.20,"Damak, Jhapa, Nepal",20305417,2024-07-02 11:03:29.298166,Dipesh Pokharel,3264,89-04-95690392,Rita Lama,Hari Lama,4965986518185
"Kumaripati, Lalitpur, Nepal",7890123456,,,layout5,068-37653-84341/852787,,,AB+,krishnarai  ,,,,,"Hetauda, Makwanpur, Nepal",,2024-07-02 11:03:27.215129,Krishna Rai,,26-03-50185868,,,1899841819000
"Thamel, Kathmandu, Nepal",5678901235,,,layout5,157-92240-30969/930555,,,B+,manishmaharjan  ,,,,,"Kirtipur, Kathmandu, Nepal",,2024-07-02 11:03:27.215129,Manish Maharjan,,98-09-16879291,,,3149983181801
"Maitighar, Kathmandu, Nepal",7890123457,,,layout5,395-60019-88104/590785,,,AB-,anilkhadka  ,,,,,"Ghorahi, Dang, Nepal",,2024-07-02 11:03:27.215129,Anil Khadka,,71-03-35575299,,,1492181411000
"Naxal, Kathmandu, Nepal",9012345679,,,layout5,697-25014-99353/663054,1983-07-19,,AB+,pratikshadahal 1983-07-19 ,,,,,"Bidur, Nuwakot, Nepal",,2024-07-02 11:03:27.215129,Pratiksha Dahal,,28-09-97969690,,,6810919814181
